group,matrix_name,condition,n,mean,sd,sem
Human,FAVvsMJP,together,249,3.929718875502008,3.290905754560213,0.20855267828553625
Human,FAVvsMJP,opposed,249,7.403614457831325,3.4559235281682796,0.21901025477583524
Human,MDvsMIP/MJP,together,249,3.1265060240963853,3.3142063944652786,0.2100292963415941
Human,MDvsMIP/MJP,opposed,249,4.066265060240964,3.8812382778490604,0.24596348187368114
Human,FAVvsP,together,249,2.4879518072289155,3.623761208116152,0.2296465355693085
Human,FAVvsP,opposed,249,5.7730923694779115,4.505610059420066,0.285531435806153
AI,FAVvsMJP,together,251,4.061752988047809,3.528352699093818,0.22270764758230452
AI,FAVvsMJP,opposed,251,7.52589641434263,3.6177548828579043,0.22835066338396579
AI,MDvsMIP/MJP,together,251,3.7091633466135456,3.628875613846473,0.22905259769979985
AI,MDvsMIP/MJP,opposed,251,4.96613545816733,3.9775879868572748,0.25106312751333704
AI,FAVvsP,together,251,2.8784860557768925,3.994903851813497,0.2521560952178535
AI,FAVvsP,opposed,251,5.922310756972111,4.604079185759768,0.2906069013470656
